;Data;Valor
0;;
1;27/12/2022;R$ 5,4466
2;26/12/2022;R$ 5,4017
3;25/12/2022;R$ 5,4017
4;24/12/2022;R$ 5,4017
5;23/12/2022;R$ 5,4465
6;22/12/2022;R$ 5,4633
7;21/12/2022;R$ 5,5048
8;20/12/2022;R$ 5,5818
9;19/12/2022;R$ 5,5446
10;18/12/2022;R$ 5,5446
11;17/12/2022;R$ 5,5446
12;16/12/2022;R$ 5,5842
13;15/12/2022;R$ 5,6076
14;14/12/2022;R$ 5,5302
15;13/12/2022;R$ 5,5719
16;12/12/2022;R$ 5,5016
17;11/12/2022;R$ 5,5016
18;10/12/2022;R$ 5,5016
19;09/12/2022;R$ 5,4696
20;08/12/2022;R$ 5,4818
21;07/12/2022;R$ 5,5016
22;06/12/2022;R$ 5,5087
23;05/12/2022;R$ 5,4573
24;04/12/2022;R$ 5,4573
25;03/12/2022;R$ 5,4573
26;02/12/2022;R$ 5,4545
27;01/12/2022;R$ 5,5588
28;30/11/2022;R$ 5,5730
29;29/11/2022;R$ 5,6486
30;28/11/2022;R$ 5,6183
31;27/11/2022;R$ 5,6183
